business_id,application_date,business_name,industry,region,years_in_business,employees,loan_amount,loan_purpose,loan_term,annual_revenue,monthly_expenses,cash_balance,existing_debt,monthly_debt_payments,credit_score,missed_payments,prior_defaults,collateral_type,collateral_value,debt_to_revenue_ratio,debt_service_coverage_ratio,loan_to_collateral_ratio,risk_score,risk_level,decision,interest_rate,pricing_tier,monthly_payment,total_repayment,total_interest_income,approval_probability
252,2025-07-14,Luderitz Retail,Manufacturing,Otjozondjupa,22,56,1850939,Working Capital,36,4237867,48068,2370104,503788,10998,801,1,0,Vehicle,1273462,0.12,27.74,1.45,117.5,Low Risk,Approved,0.08,Standard Risk-Based Rate,58001.7,2088061.2,237122.2,100.0
253,2025-10-19,Windhoek Farming,Technology,Oshikoto,16,131,741098,Inventory,36,9843652,395183,1861537,1503453,60655,612,1,0,Livestock,3966845,0.15,7.01,0.19,69.4,Medium Risk,Review,0.15,Elevated Risk Premium,25690.41,924854.76,183756.76,76.34
254,2025-08-21,Etosha Fishing,Mining Services,Khomas,25,192,99786,Construction,12,9250546,337303,2511527,1484802,112968,834,2,0,Vehicle,1974313,0.16,3.84,0.05,110.3,Low Risk,Approved,0.08,Standard Risk-Based Rate,8680.23,104162.76,4376.76,100.0
255,2025-04-08,Caprivi Transport,Tourism,Oshikoto,16,230,1980091,Working Capital,60,6940031,328805,2853270,2554913,18560,613,8,0,Property,4704196,0.37,13.44,0.42,22.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,25.08
256,2025-09-13,Erongo Construction,Mining Services,Karas,9,205,1594326,Working Capital,60,11712268,267888,2416233,610630,56460,843,2,0,Vehicle,1119813,0.05,12.54,1.42,94.0,Low Risk,Approved,0.08,Standard Risk-Based Rate,32327.18,1939630.8,345304.8,100.0
257,2025-08-16,Oshana Trading,Agriculture,Kavango East,17,198,669249,Equipment Purchase,60,7137756,731886,1113952,1341110,112845,784,1,0,Livestock,2198441,0.19,-1.21,0.3,74.8,Medium Risk,Review,0.15,Elevated Risk Premium,15921.39,955283.4,286034.4,82.28
258,2025-05-05,Otji Logistics,Construction,Hardap,4,67,1901314,Working Capital,36,11902467,489392,1905269,1328981,50579,492,1,1,Livestock,2671436,0.11,9.93,0.71,22.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,24.2
259,2025-05-22,Erongo Fishing,Logistics,Kavango East,9,75,329288,Expansion,24,6752671,664104,22313,2483652,20753,456,5,0,Equipment,3119256,0.37,-4.89,0.11,-35.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
260,2025-03-19,Luderitz Tours,Logistics,Hardap,1,129,835904,Working Capital,24,4031620,357224,1751125,1714143,80504,815,7,0,Livestock,235144,0.43,-0.26,3.55,14.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,16.39
261,2025-04-25,Etosha Food Services,Construction,Karas,21,14,2107095,Payroll Support,12,4549983,76182,34173,1162017,23609,477,4,0,Savings,258228,0.26,12.83,8.16,6.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,6.93
262,2025-01-15,Erongo Technologies,Manufacturing,Kavango West,6,149,1004972,Working Capital,12,1901955,31905,713957,20963,28300,641,2,0,Livestock,4130777,0.01,4.47,0.24,41.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,45.32
263,2025-09-14,Kunene Supplies,Manufacturing,Kavango East,24,136,1086925,Inventory,36,1553016,317885,260161,3208021,50019,721,2,1,Equipment,4058527,2.07,-3.77,0.27,15.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,16.72
264,2025-03-06,Luderitz Farming,Retail,Khomas,5,223,997126,Vehicle Purchase,24,5800938,397260,785450,294964,3337,818,2,0,Vehicle,3925926,0.05,25.82,0.25,56.1,Medium Risk,Review,0.15,Elevated Risk Premium,48347.3,1160335.2,163209.2,61.71
265,2025-07-16,Katima Retail,Logistics,Kavango West,21,6,1362831,Working Capital,60,11119516,306785,241436,247499,85649,670,2,0,Vehicle,3945639,0.02,7.24,0.35,54.9,Medium Risk,Review,0.15,Elevated Risk Premium,32421.65,1945299.0,582468.0,60.39
266,2025-12-13,Walvis Supplies,Construction,Oshana,22,95,1084579,Equipment Purchase,48,3961074,669216,2570969,2390894,117233,717,3,0,Inventory,3028024,0.6,-2.89,0.36,78.2,Medium Risk,Review,0.15,Elevated Risk Premium,30184.65,1448863.2,364284.2,86.02
267,2025-10-23,Kunene Food Services,Construction,Kavango East,3,7,2082902,Inventory,24,11016823,580430,138406,1347044,2023,613,7,0,Savings,1731879,0.12,166.9,1.2,-30.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
268,2025-01-15,Windhoek Trading,Logistics,Oshikoto,2,79,1313800,Construction,36,3420673,93103,917284,630959,15646,558,8,0,Inventory,2714112,0.18,12.27,0.48,-23.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
269,2025-11-18,Windhoek Farming,Manufacturing,Hardap,18,54,1168677,Technology Upgrade,12,8300251,385758,456389,263875,46018,716,4,0,Inventory,771377,0.03,6.65,1.52,43.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,47.41
270,2025-06-19,Etosha Supplies,Agriculture,Kavango West,10,81,2425698,Construction,60,7755989,646402,612728,1193986,17959,568,3,0,Property,1683274,0.15,-0.0,1.44,18.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,19.91
271,2025-10-15,Swakop Logistics,Transport,Otjozondjupa,15,151,744864,Equipment Purchase,12,14545614,433519,1427043,2463398,99230,762,1,0,Property,1111846,0.17,7.85,0.67,64.6,Medium Risk,Review,0.15,Elevated Risk Premium,67230.17,806762.04,61898.04,71.06
272,2025-03-21,Windhoek Farming,Tourism,Oshikoto,25,52,1195343,Equipment Purchase,12,4511412,447694,1092190,3833748,70401,485,6,0,Livestock,2301181,0.85,-1.02,0.52,-8.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
273,2025-04-14,Oshana Trading,Agriculture,Khomas,2,115,486333,Technology Upgrade,36,6781718,127513,1539322,4677,39256,780,1,1,Inventory,804959,0.0,11.15,0.6,53.7,Medium Risk,Review,0.15,Elevated Risk Premium,16858.89,606920.04,120587.04,59.07
274,2025-09-18,Erongo Supplies,Construction,Kavango East,1,81,2461034,Expansion,60,8822851,49335,2991867,365859,86775,598,2,0,Property,3233701,0.04,7.9,0.76,71.5,Medium Risk,Review,0.15,Elevated Risk Premium,58547.83,3512869.8,1051835.8,78.65
275,2025-05-28,Katima Transport,Transport,Otjozondjupa,8,157,478691,Payroll Support,12,13630596,61747,2233536,2042823,29479,726,2,0,Equipment,1195141,0.15,36.44,0.4,62.8,Medium Risk,Review,0.15,Elevated Risk Premium,43205.84,518470.08,39779.08,69.08
276,2025-09-09,Walvis Supplies,Construction,Kavango West,13,106,369466,Payroll Support,36,10879089,197479,2221164,3661999,74096,567,7,0,Savings,635192,0.34,9.57,0.58,-2.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
277,2025-08-19,Gobabis Technologies,Technology,Otjozondjupa,13,210,2050595,Equipment Purchase,24,1071339,314483,2219722,3575984,89554,609,3,0,Property,4098712,3.34,-2.51,0.5,35.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,38.5
278,2025-07-31,Kunene Food Services,Technology,Oshikoto,16,88,1784962,Vehicle Purchase,36,3736933,253470,1775280,1082865,25,591,1,1,Savings,1090436,0.29,2317.64,1.64,49.8,Medium Risk,Review,0.15,Elevated Risk Premium,61876.29,2227546.44,442584.44,54.78
279,2025-06-01,Walvis Trading,Retail,Hardap,1,235,1742292,Construction,36,3574185,720486,2685549,1612653,55942,534,4,1,Vehicle,643950,0.45,-7.55,2.71,10.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,11.55
280,2025-12-14,Caprivi Farming,Logistics,Hardap,19,187,392536,Inventory,12,3759341,426883,1440038,1269337,65833,813,6,0,Inventory,2707690,0.34,-1.73,0.14,47.9,Medium Risk,Review,0.15,Elevated Risk Premium,35429.64,425155.68,32619.68,52.69
281,2025-09-10,Caprivi Construction,Construction,Kavango East,2,245,1070223,Payroll Support,24,3842644,676815,1717741,2046415,53430,733,3,0,Equipment,4502325,0.53,-6.67,0.24,36.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,39.82
282,2025-11-02,Luderitz Manufacturing,Transport,Khomas,17,196,782526,Working Capital,36,6449228,588853,1254991,2244132,110906,713,0,0,Property,207149,0.35,-0.46,3.78,69.5,Medium Risk,Review,0.15,Elevated Risk Premium,27126.52,976554.72,194028.72,76.45
283,2025-03-28,Gobabis Supplies,Food Services,Kavango East,17,215,674629,Vehicle Purchase,48,9730818,247061,901747,1493185,46782,577,8,1,Inventory,473338,0.15,12.05,1.43,-27.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
284,2025-01-23,Okavango Construction,Tourism,Erongo,18,83,360050,Inventory,36,13165677,182239,1246194,2339458,7816,495,4,0,Livestock,632154,0.18,117.05,0.57,16.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,17.6
285,2025-03-25,Erongo Manufacturing,Tourism,Oshikoto,12,106,1721263,Vehicle Purchase,24,13949919,466732,2687063,1044811,16817,519,0,0,Livestock,457882,0.07,41.37,3.76,83.2,Low Risk,Approved,0.08,Standard Risk-Based Rate,77848.06,1868353.44,147090.44,91.52
286,2025-06-21,Oshana Tours,Retail,Otjozondjupa,12,160,683921,Inventory,36,9142963,484995,2026679,3367728,74034,799,3,0,Livestock,224374,0.37,3.74,3.05,50.8,Medium Risk,Review,0.15,Elevated Risk Premium,23708.35,853500.6,169579.6,55.88
287,2025-02-28,Kunene Tours,Tourism,Otjozondjupa,9,85,2359680,Expansion,48,12353869,273872,2799246,3312684,14742,718,6,1,Inventory,1850079,0.27,51.26,1.28,10.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,11.22
288,2025-06-21,Otji Manufacturing,Food Services,Oshikoto,20,97,1115326,Working Capital,36,6394011,64914,807938,3422492,73602,750,6,0,Savings,3616537,0.54,6.36,0.31,8.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,9.79
289,2025-06-22,Luderitz Transport,Food Services,Kavango East,18,209,2117400,Working Capital,24,11237684,205529,2793652,1494203,65481,635,8,0,Inventory,1345050,0.13,11.16,1.57,37.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,41.14
290,2025-07-29,Swakop Manufacturing,Tourism,Otjozondjupa,9,169,1097320,Working Capital,36,13265645,234511,2680945,324393,42114,838,6,0,Savings,2125136,0.02,20.68,0.52,69.7,Medium Risk,Review,0.15,Elevated Risk Premium,38038.96,1369402.56,272082.56,76.67
291,2025-04-10,Katima Supplies,Technology,Oshikoto,22,2,1821355,Technology Upgrade,12,12813648,423841,834294,3565224,77554,464,5,0,Equipment,284775,0.28,8.3,6.4,-9.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
292,2025-01-21,Luderitz Manufacturing,Construction,Kavango West,16,33,170271,Construction,48,6956367,587526,126121,1037264,42774,658,8,0,Equipment,296574,0.15,-0.18,0.57,-12.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
293,2025-06-24,Walvis Supplies,Mining Services,Kavango East,23,188,552837,Technology Upgrade,48,9944244,378895,38034,3977023,24876,577,4,0,Livestock,1611362,0.4,18.08,0.34,-8.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
294,2025-03-24,Kalahari Construction,Technology,Oshana,24,244,596127,Equipment Purchase,48,14211735,728413,2617791,589769,34366,581,2,0,Inventory,605364,0.04,13.27,0.98,94.6,Low Risk,Approved,0.08,Standard Risk-Based Rate,14553.2,698553.6,102426.6,100.0
295,2025-04-29,Namib Transport,Mining Services,Karas,3,135,2329306,Inventory,48,2463183,649867,2846089,603265,3486,617,2,0,Savings,4512804,0.24,-127.54,0.52,71.1,Medium Risk,Review,0.15,Elevated Risk Premium,64826.33,3111663.84,782357.84,78.21
296,2025-08-30,Gobabis Manufacturing,Tourism,Oshikoto,8,91,2183928,Construction,60,2588525,799088,1956126,3088885,60768,517,0,0,Savings,3231097,1.19,-9.6,0.68,41.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,46.09
297,2025-02-16,Caprivi Manufacturing,Mining Services,Kavango East,16,85,462182,Equipment Purchase,12,872087,406454,2050712,1318714,67837,487,3,0,Equipment,1528355,1.51,-4.92,0.3,46.5,Medium Risk,Review,0.15,Elevated Risk Premium,41715.77,500589.24,38407.24,51.15
298,2025-08-13,Okavango Trading,Retail,Erongo,5,8,2269357,Vehicle Purchase,24,10322543,345915,2058704,1704416,26622,747,2,0,Property,3623050,0.17,19.32,0.63,60.3,Medium Risk,Review,0.15,Elevated Risk Premium,110033.51,2640804.24,371447.24,66.33
299,2025-11-19,Kunene Food Services,Mining Services,Otjozondjupa,7,187,1887123,Equipment Purchase,24,1363343,618898,1552014,482829,62790,471,0,0,Livestock,1983354,0.35,-8.05,0.95,53.8,Medium Risk,Review,0.15,Elevated Risk Premium,91500.27,2196006.48,308883.48,59.18
300,2025-08-14,Swakop Trading,Logistics,Oshana,23,203,690824,Payroll Support,12,9146569,707464,1067915,2390666,36359,755,8,0,Livestock,413742,0.26,1.51,1.67,13.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,14.85
301,2025-07-16,Swakop Fishing,Technology,Hardap,17,99,1516611,Vehicle Purchase,12,1493712,73464,358614,2101268,84914,515,8,1,Equipment,4397507,1.41,0.6,0.34,-50.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
302,2025-01-29,Walvis Tours,Retail,Erongo,16,144,223008,Payroll Support,12,14700818,52528,939063,1841402,117303,589,1,0,Inventory,84617,0.13,10.0,2.64,45.3,Medium Risk,Review,0.15,Elevated Risk Premium,20128.33,241539.96,18531.96,49.83
303,2025-02-05,Walvis Farming,Manufacturing,Kavango West,1,185,260099,Working Capital,36,9900270,202998,2568259,3070432,33454,746,1,1,Livestock,2953029,0.31,18.59,0.09,38.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,42.68
304,2025-07-07,Kunene Manufacturing,Logistics,Karas,14,122,1662610,Equipment Purchase,24,3655756,299128,973580,3086653,3516,747,0,0,Inventory,1327201,0.84,1.57,1.25,54.3,Medium Risk,Review,0.15,Elevated Risk Premium,80614.39,1934745.36,272135.36,59.73
305,2025-06-21,Swakop Technologies,Manufacturing,Karas,25,61,2166916,Expansion,60,5569333,578454,1761044,2693158,14114,453,6,0,Savings,3347118,0.48,-8.1,0.65,13.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,14.41
306,2025-10-06,Katima Food Services,Food Services,Kavango West,13,154,1959845,Working Capital,48,5556394,778312,1924440,2189201,94220,786,5,0,Property,2659233,0.39,-3.35,0.74,44.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,49.17
307,2025-11-15,Oshana Fishing,Retail,Otjozondjupa,10,55,2005655,Construction,36,1478214,341843,2079784,879449,42586,464,8,0,Livestock,2903392,0.59,-5.13,0.69,0.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.22
308,2025-02-10,Kunene Technologies,Technology,Otjozondjupa,9,54,857309,Working Capital,48,11122376,440448,1028255,1606103,117302,578,6,0,Savings,3880991,0.14,4.15,0.22,-2.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
309,2025-11-06,Okavango Farming,Tourism,Kavango West,24,5,2400012,Working Capital,36,5739096,541200,2754633,1554933,54834,647,3,0,Savings,2630961,0.27,-1.15,0.91,86.2,Low Risk,Approved,0.08,Standard Risk-Based Rate,75207.65,2707475.4,307463.4,94.82
310,2025-07-07,Swakop Technologies,Tourism,Otjozondjupa,2,114,1870289,Vehicle Purchase,48,9553875,701155,876535,1064041,118218,683,2,0,Savings,2915959,0.11,0.8,0.64,32.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,35.42
311,2025-06-10,Namib Transport,Mining Services,Erongo,23,199,1061637,Working Capital,24,11786218,452668,524846,794418,107369,806,1,0,Inventory,4314784,0.07,4.93,0.25,79.7,Medium Risk,Review,0.15,Elevated Risk Premium,51475.22,1235405.28,173768.28,87.67
312,2025-07-01,Kunene Technologies,Transport,Kavango East,23,145,1384725,Equipment Purchase,36,5077394,521216,956936,3128837,109220,709,1,1,Savings,4695250,0.62,-0.9,0.29,35.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,38.83
313,2025-12-05,Kalahari Construction,Tourism,Oshikoto,14,52,757949,Inventory,60,7086005,785621,1152164,1719927,57033,460,6,0,Livestock,4894423,0.24,-3.42,0.15,-5.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
314,2025-04-10,Walvis Farming,Agriculture,Khomas,6,127,669909,Vehicle Purchase,36,12751802,632590,1111967,3927311,34998,706,7,0,Property,637279,0.31,12.29,1.05,-23.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
315,2025-10-16,Otji Food Services,Food Services,Kavango West,8,228,1637433,Equipment Purchase,48,13672692,727734,2786565,1965482,47479,802,3,1,Inventory,1166203,0.14,8.67,1.4,54.3,Medium Risk,Review,0.15,Elevated Risk Premium,45570.99,2187407.52,549974.52,59.73
316,2025-02-19,Luderitz Transport,Technology,Kavango West,13,112,1658398,Inventory,48,9355047,95949,374533,2024100,41688,799,4,1,Livestock,936550,0.22,16.4,1.77,4.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,5.06
317,2025-08-16,Kalahari Fishing,Mining Services,Oshana,21,15,1434124,Working Capital,36,8567099,349237,321626,3453939,118632,465,1,0,Equipment,3418062,0.4,3.07,0.42,11.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,13.09
318,2025-09-09,Gobabis Supplies,Tourism,Hardap,20,96,2177667,Inventory,36,3882796,218929,1828274,1586099,65062,705,1,1,Savings,1091500,0.41,1.61,2.0,63.2,Medium Risk,Review,0.15,Elevated Risk Premium,75489.54,2717623.44,539956.44,69.52
319,2025-01-29,Namib Technologies,Food Services,Kavango East,3,94,2488147,Expansion,24,4636820,618944,2757263,3972838,111541,520,0,0,Equipment,1376431,0.86,-2.08,1.81,41.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,46.09
320,2025-09-24,Namib Trading,Food Services,Oshana,14,194,671360,Vehicle Purchase,12,7379138,357535,1270551,1473300,93857,463,7,1,Savings,2162334,0.2,2.74,0.31,-28.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
321,2025-10-12,Erongo Tours,Manufacturing,Oshikoto,8,18,814070,Technology Upgrade,12,11565932,144873,1994271,1772242,36672,825,6,0,Livestock,2562107,0.15,22.33,0.32,38.7,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,42.57
322,2025-01-21,Namib Food Services,Technology,Oshana,5,122,908452,Construction,12,9144909,31793,368599,2562353,38026,536,6,0,Property,4420547,0.28,19.2,0.21,-35.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
323,2025-03-10,Namib Fishing,Tourism,Khomas,25,237,2152199,Construction,24,10395397,378171,2084738,465230,22963,568,8,0,Property,3352308,0.04,21.26,0.64,37.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,41.03
324,2025-07-10,Caprivi Retail,Food Services,Erongo,2,107,2307586,Construction,24,10813281,782341,2933472,3530010,34501,540,3,0,Inventory,4471437,0.33,3.44,0.52,26.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,29.04
325,2025-09-30,Okavango Logistics,Transport,Khomas,18,143,247481,Construction,48,11957519,290505,1692299,1108838,66639,687,5,0,Livestock,3844680,0.09,10.59,0.06,48.5,Medium Risk,Review,0.15,Elevated Risk Premium,6887.58,330603.84,83122.84,53.35
326,2025-12-03,Caprivi Retail,Transport,Kavango East,7,111,664533,Payroll Support,48,11044817,746376,668323,1853209,68823,847,8,0,Inventory,2245007,0.17,2.53,0.3,-4.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
327,2025-02-23,Windhoek Trading,Technology,Erongo,5,191,2110791,Equipment Purchase,36,11773329,460757,582666,1198737,49133,510,2,0,Savings,413671,0.1,10.59,5.1,12.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,13.42
328,2025-06-24,Windhoek Manufacturing,Construction,Kavango West,5,41,1599131,Working Capital,48,2379175,547324,557168,943980,52240,670,5,0,Vehicle,700636,0.4,-6.68,2.28,6.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,6.82
329,2025-09-21,Luderitz Farming,Transport,Erongo,23,162,933065,Inventory,48,8145429,553639,499090,1343864,81726,596,3,1,Vehicle,2521149,0.16,1.53,0.37,16.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,18.26
330,2025-01-17,Katima Manufacturing,Transport,Otjozondjupa,16,148,1055702,Working Capital,48,4112249,355053,240341,724116,102654,538,1,0,Savings,4454233,0.18,-0.12,0.24,37.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,41.14
331,2025-08-22,Namib Fishing,Mining Services,Erongo,15,101,2261348,Technology Upgrade,12,11968755,516018,1969545,2171401,52437,817,0,0,Savings,1160180,0.18,9.18,1.95,91.9,Low Risk,Approved,0.08,Standard Risk-Based Rate,196711.11,2360533.32,99185.32,100.0
332,2025-05-06,Erongo Trading,Logistics,Erongo,18,203,2178371,Construction,48,14231137,651009,1758299,1028041,58900,849,7,0,Vehicle,3451971,0.07,9.08,0.63,50.8,Medium Risk,Review,0.15,Elevated Risk Premium,60625.69,2910033.12,731662.12,55.88
333,2025-10-21,Windhoek Tours,Construction,Khomas,23,33,77453,Construction,48,12041973,350564,2699253,26853,89259,799,1,0,Savings,3925428,0.0,7.32,0.02,130.1,Low Risk,Approved,0.08,Standard Risk-Based Rate,1890.85,90760.8,13307.8,100.0
334,2025-04-12,Etosha Logistics,Manufacturing,Erongo,22,53,1128365,Expansion,48,12454062,240863,1374931,1258519,18767,457,1,0,Property,1838846,0.1,42.47,0.61,55.6,Medium Risk,Review,0.15,Elevated Risk Premium,31403.24,1507355.52,378990.52,61.16
335,2025-03-07,Caprivi Manufacturing,Mining Services,Oshikoto,5,191,1717236,Vehicle Purchase,12,6957071,182960,1842020,11194,60251,646,3,0,Property,81078,0.0,6.59,21.18,54.8,Medium Risk,Review,0.15,Elevated Risk Premium,154994.82,1859937.84,142701.84,60.28
336,2025-12-06,Etosha Supplies,Retail,Khomas,20,117,270249,Technology Upgrade,48,2449661,436587,2637524,819578,78877,813,0,1,Savings,312494,0.33,-2.95,0.86,105.9,Low Risk,Approved,0.08,Standard Risk-Based Rate,6597.57,316683.36,46434.36,100.0
337,2025-03-13,Gobabis Fishing,Tourism,Otjozondjupa,22,94,1941030,Expansion,12,4818622,376740,475857,3025385,84681,799,3,0,Livestock,2784637,0.63,0.29,0.7,38.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,42.02
338,2025-09-05,Gobabis Retail,Mining Services,Kavango East,2,140,376469,Vehicle Purchase,36,1263275,678034,2590292,2747411,64861,740,7,0,Property,2677745,2.17,-8.83,0.14,15.3,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,16.83
339,2025-08-03,Gobabis Supplies,Food Services,Erongo,18,51,2139591,Vehicle Purchase,48,13560856,347997,2238872,200030,48172,467,8,0,Savings,1803163,0.01,16.24,1.19,22.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,24.75
340,2025-08-31,Erongo Food Services,Mining Services,Hardap,24,60,2415359,Construction,48,5727654,216078,2456991,2863186,98690,745,8,0,Vehicle,1118897,0.5,2.65,2.16,37.0,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,40.7
341,2025-03-20,Erongo Retail,Transport,Erongo,22,165,361349,Working Capital,12,7164643,350048,1531676,3980785,78341,783,5,0,Vehicle,3311672,0.56,3.15,0.11,32.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,35.31
342,2025-03-20,Gobabis Retail,Retail,Erongo,3,49,2049657,Construction,36,4716763,104229,1327738,1805650,81541,764,3,0,Equipment,4080992,0.38,3.54,0.5,35.4,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,38.94
343,2025-01-05,Gobabis Fishing,Retail,Oshana,15,7,1172478,Vehicle Purchase,60,9041979,47461,1209796,3364837,19590,701,3,1,Savings,2708970,0.37,36.04,0.43,9.1,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,10.01
344,2025-07-29,Oshana Farming,Manufacturing,Khomas,12,161,2471692,Payroll Support,24,3846435,109035,1505222,1916595,8402,539,0,0,Inventory,782855,0.5,25.17,3.16,52.8,Medium Risk,Review,0.15,Elevated Risk Premium,119844.06,2876257.44,404565.44,58.08
345,2025-11-17,Kalahari Manufacturing,Food Services,Erongo,17,186,2188043,Working Capital,12,9497755,122323,1684981,3213780,8639,684,7,1,Vehicle,2760977,0.34,77.46,0.79,-10.5,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
346,2025-05-27,Oshana Tours,Technology,Oshikoto,3,231,2374428,Inventory,48,14740382,321527,1536573,1981799,41280,454,4,1,Equipment,1818193,0.13,21.97,1.31,-21.2,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
347,2025-12-01,Luderitz Food Services,Mining Services,Oshana,13,37,2298699,Vehicle Purchase,60,12161569,612714,1447218,2803007,23545,812,5,1,Savings,218145,0.23,17.02,10.54,11.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,12.76
348,2025-04-21,Otji Manufacturing,Mining Services,Kavango West,24,146,1930093,Payroll Support,48,12564048,437881,1825854,1202449,95630,548,3,0,Property,1958870,0.1,6.37,0.99,61.3,Medium Risk,Review,0.15,Elevated Risk Premium,53715.93,2578364.64,648271.64,67.43
349,2025-09-15,Kalahari Supplies,Food Services,Oshana,24,118,980454,Construction,36,13305912,478262,272776,165934,43940,615,2,0,Livestock,163699,0.01,14.35,5.99,55.3,Medium Risk,Review,0.15,Elevated Risk Premium,33987.76,1223559.36,243105.36,60.83
350,2025-10-29,Caprivi Trading,Transport,Otjozondjupa,10,48,1789169,Equipment Purchase,48,2188779,326267,1659397,2424711,107026,510,4,0,Savings,384933,1.11,-1.34,4.65,12.9,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,14.19
351,2025-03-17,Erongo Tours,Food Services,Oshikoto,13,170,1052611,Working Capital,48,2158097,199659,2262310,1900080,44650,701,3,1,Livestock,3894606,0.88,-0.44,0.27,41.8,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,45.98
352,2025-12-18,Namib Transport,Agriculture,Kavango East,4,127,100151,Technology Upgrade,12,8895396,668283,1269240,2872794,3312,497,4,1,Inventory,579353,0.32,22.04,0.17,-29.6,High Risk,Rejected,0.0,No Pricing Offer,0.0,0.0,0.0,0.0
353,2025-12-13,Swakop Tours,Logistics,Erongo,23,19,955867,Inventory,60,8641011,748238,2526371,1853957,76827,708,0,0,Vehicle,658567,0.21,-0.37,1.45,107.3,Low Risk,Approved,0.08,Standard Risk-Based Rate,19381.54,1162892.4,207025.4,100.0
